Date,log_return,state,regime
2010-01-05,0.014496751999617993,0,Low Volatility Bull
2010-01-06,0.006376276093930486,0,Low Volatility Bull
2010-01-07,-0.019792171477090767,0,Low Volatility Bull
2010-01-08,0.002158846388270176,0,Low Volatility Bull
2010-01-11,-0.014115362104477445,0,Low Volatility Bull
2010-01-12,-0.03448617981728542,1,High Volatility Bull
2010-01-13,0.01349090777467707,1,High Volatility Bull
2010-01-14,-0.01575724320448438,1,High Volatility Bull
2010-01-15,-0.029938986877888075,1,High Volatility Bull
2010-01-19,0.018529918079282656,1,High Volatility Bull
2010-01-20,-0.00402443730668437,1,High Volatility Bull
2010-01-21,-0.018018474143543284,1,High Volatility Bull
2010-01-22,-0.035216846034036055,1,High Volatility Bull
2010-01-25,0.01686781765303123,1,High Volatility Bull
2010-01-26,-0.03217268642457512,1,High Volatility Bull
2010-01-27,0.02678202190737436,1,High Volatility Bull
2010-01-28,-0.03421238502104952,1,High Volatility Bull
2010-01-29,-0.04447987120930749,1,High Volatility Bull
2010-02-01,0.07387577470012509,1,High Volatility Bull
2010-02-02,0.01020714604743275,1,High Volatility Bull
2010-02-03,0.008328630040539872,1,High Volatility Bull
2010-02-04,-0.05981034201137706,1,High Volatility Bull
2010-02-05,0.019925931485586874,1,High Volatility Bull
2010-02-08,-0.0018514586696586313,1,High Volatility Bull
2010-02-09,-0.008061999139959626,1,High Volatility Bull
2010-02-10,0.019118645281024284,1,High Volatility Bull
2010-02-11,0.04479685233320262,1,High Volatility Bull
2010-02-12,0.013345385056956604,1,High Volatility Bull
2010-02-16,0.01827569968333015,1,High Volatility Bull
2010-02-17,0.009574612365944295,1,High Volatility Bull
2010-02-18,-0.06783238994180321,1,High Volatility Bull
2010-02-19,-0.005413362514545566,1,High Volatility Bull
2010-02-22,0.0018075554316726431,1,High Volatility Bull
2010-02-23,-0.0243764458254883,1,High Volatility Bull
2010-02-24,0.02075782581003818,1,High Volatility Bull
2010-02-25,-0.009104692650209533,1,High Volatility Bull
2010-02-26,-0.012270178830542376,1,High Volatility Bull
2010-03-01,0.03933943625929757,1,High Volatility Bull
2010-03-02,-0.0005937565320629881,1,High Volatility Bull
2010-03-03,-0.012548911683735488,1,High Volatility Bull
2010-03-04,0.0018025951043785674,1,High Volatility Bull
2010-03-05,0.030153010318795442,1,High Volatility Bull
2010-03-08,-0.014667252978123725,1,High Volatility Bull
2010-03-09,0.036557704632483874,1,High Volatility Bull
2010-03-10,0.0022763582201290973,1,High Volatility Bull
2010-03-11,-0.023002679811934785,1,High Volatility Bull
2010-03-12,0.003483979145088482,1,High Volatility Bull
2010-03-15,-0.005230796628036097,1,High Volatility Bull
2010-03-16,0.034367741408780204,1,High Volatility Bull
2010-03-17,0.018963183779846272,1,High Volatility Bull
2010-03-18,-0.03599923264426984,1,High Volatility Bull
2010-03-19,-0.01210089591632058,1,High Volatility Bull
2010-03-22,0.0161020315506166,1,High Volatility Bull
2010-03-23,0.020328165088641013,1,High Volatility Bull
2010-03-24,-0.0341138423903359,1,High Volatility Bull
2010-03-25,0.002887899142274649,1,High Volatility Bull
2010-03-26,0.0,1,High Volatility Bull
2010-03-29,0.01260783139323218,1,High Volatility Bull
2010-03-30,0.0039781732663821175,1,High Volatility Bull
2010-03-31,-0.013131887582736965,1,High Volatility Bull
2010-04-01,-0.01039842698364889,1,High Volatility Bull
2010-04-05,0.014985757915982827,1,High Volatility Bull
2010-04-06,-0.024907423598429873,1,High Volatility Bull
2010-04-07,0.006430925569986128,1,High Volatility Bull
2010-04-08,-0.01645132391045107,1,High Volatility Bull
2010-04-09,0.00649509694946726,1,High Volatility Bull
2010-04-12,0.018081760697441922,1,High Volatility Bull
2010-04-13,0.020595809145236836,1,High Volatility Bull
2010-04-14,0.012380420377517456,1,High Volatility Bull
2010-04-15,0.007244408523858005,1,High Volatility Bull
2010-04-16,-0.054190575432504266,1,High Volatility Bull
2010-04-19,-0.004700302578737849,1,High Volatility Bull
2010-04-20,0.0035272201177162987,1,High Volatility Bull
2010-04-21,-0.02616081167962886,1,High Volatility Bull
2010-04-22,0.004207910322879649,1,High Volatility Bull
2010-04-23,-0.013893095466113068,1,High Volatility Bull
2010-04-26,0.00968518514323342,1,High Volatility Bull
2010-04-27,-0.028721966779749506,1,High Volatility Bull
2010-04-28,0.0018585007666197448,1,High Volatility Bull
2010-04-29,0.029871145335022303,1,High Volatility Bull
2010-04-30,-0.05811275908249472,1,High Volatility Bull
2010-05-03,-0.010880095650110345,1,High Volatility Bull
2010-05-04,-0.05217460411277974,1,High Volatility Bull
2010-05-05,-0.017094447054587708,1,High Volatility Bull
2010-05-06,-0.020905968474584025,1,High Volatility Bull
2010-05-07,-0.017046484319257538,1,High Volatility Bull
2010-05-10,0.04208233228082124,1,High Volatility Bull
2010-05-11,-0.011050237539127926,1,High Volatility Bull
2010-05-12,0.01925793681421191,1,High Volatility Bull
2010-05-13,-0.0020453512865948793,1,High Volatility Bull
2010-05-14,-0.12257273957076875,2,Crash / Bear Regime
2010-05-17,0.002311559337533428,2,Crash / Bear Regime
2010-05-18,-0.03366241168054873,2,Crash / Bear Regime
2010-05-19,0.01579822962170672,2,Crash / Bear Regime
2010-05-20,-0.02379146487519548,2,Crash / Bear Regime
2010-05-21,0.021437475465385047,2,Crash / Bear Regime
2010-05-24,-0.029495854966885213,2,Crash / Bear Regime
2010-05-25,0.026349173309082985,2,Crash / Bear Regime
2010-05-26,0.0047168276720418005,2,Crash / Bear Regime
2010-05-27,0.0571580508071599,2,Crash / Bear Regime
2010-05-28,-0.027028435934827344,2,Crash / Bear Regime
2010-06-01,-0.04355282699247149,2,Crash / Bear Regime
2010-06-02,0.011067169964351722,2,Crash / Bear Regime
2010-06-03,-0.001573340096961681,2,Crash / Bear Regime
2010-06-04,-0.04839624351284174,2,Crash / Bear Regime
2010-06-07,-0.05085899446560325,2,Crash / Bear Regime
2010-06-08,-0.02822021771104861,2,Crash / Bear Regime
2010-06-09,-0.02444689361357895,2,Crash / Bear Regime
2010-06-10,0.03953780941048223,2,Crash / Bear Regime
2010-06-11,0.022649675256785042,2,Crash / Bear Regime
2010-06-14,-0.021769073942170616,2,Crash / Bear Regime
2010-06-15,0.04811922373292569,2,Crash / Bear Regime
2010-06-16,-0.012663088152119284,2,Crash / Bear Regime
2010-06-17,0.03751993490053927,2,Crash / Bear Regime
2010-06-18,0.006524908666083392,2,Crash / Bear Regime
2010-06-21,-0.02385949242418689,2,Crash / Bear Regime
2010-06-22,-0.038188458636148406,2,Crash / Bear Regime
2010-06-23,0.011182492323135833,2,Crash / Bear Regime
2010-06-24,-0.05088834964961285,2,Crash / Bear Regime
2010-06-25,-0.0027035957655491224,2,Crash / Bear Regime
2010-06-28,0.0018034045592111635,2,Crash / Bear Regime
2010-06-29,-0.05747668771097528,2,Crash / Bear Regime
2010-06-30,-0.026100661041904734,2,Crash / Bear Regime
2010-07-01,0.01651297716462721,2,Crash / Bear Regime
2010-07-02,-0.012602952767961669,2,Crash / Bear Regime
2010-07-06,-0.010789956861942186,2,Crash / Bear Regime
2010-07-07,0.047192241353496624,2,Crash / Bear Regime
2010-07-08,-0.0305657017173075,2,Crash / Bear Regime
2010-07-09,0.0038719847031070177,2,Crash / Bear Regime
2010-07-12,0.018191049357190823,2,Crash / Bear Regime
2010-07-13,0.03541883404549342,2,Crash / Bear Regime
2010-07-14,0.010022854356193937,2,Crash / Bear Regime
2010-07-15,-0.02850785719208311,2,Crash / Bear Regime
2010-07-16,-0.06453820539944514,2,Crash / Bear Regime
