Date,log_return,state,regime
2010-01-05,0.00334355220612675,1,High Volatility Bull
2010-01-06,-0.014699169435895033,0,Low Volatility Bull
2010-01-07,-0.022729222571338345,1,High Volatility Bull
2010-01-08,-0.024393684811214136,0,Low Volatility Bull
2010-01-11,0.010274624510177263,1,High Volatility Bull
2010-01-12,0.038337590865631814,2,Crash / Bear Regime
2010-01-13,0.03664264397777005,2,Crash / Bear Regime
2010-01-14,0.0023262668166260116,0,Low Volatility Bull
2010-01-15,-0.005199975120192511,1,High Volatility Bull
2010-01-18,0.004046456364964976,0,Low Volatility Bull
2010-01-19,-0.01907018506154369,1,High Volatility Bull
2010-01-20,0.008236367035466092,0,Low Volatility Bull
2010-01-21,-0.012303910638134078,1,High Volatility Bull
2010-01-22,-0.019074606203304586,0,Low Volatility Bull
2010-01-25,-0.01301300855611943,1,High Volatility Bull
2010-01-27,-0.015879277306287857,0,Low Volatility Bull
2010-01-28,-0.004205074022565503,1,High Volatility Bull
2010-01-29,-0.006542793212768373,0,Low Volatility Bull
2010-02-01,-0.00984453294468482,1,High Volatility Bull
2010-02-02,-0.0046201860031061396,0,Low Volatility Bull
2010-02-03,0.013535180615122112,1,High Volatility Bull
2010-02-04,-0.01801265955590061,0,Low Volatility Bull
2010-02-05,-0.03193645132127316,1,High Volatility Bull
2010-02-08,0.02140399024489194,0,Low Volatility Bull
2010-02-09,0.02878746023781391,1,High Volatility Bull
2010-02-10,-0.002772995269021552,0,Low Volatility Bull
2010-02-11,0.01268818549377267,1,High Volatility Bull
2010-02-15,8.02634460962016e-05,0,Low Volatility Bull
2010-02-16,0.016983908725287364,1,High Volatility Bull
2010-02-17,-0.009011466505135938,0,Low Volatility Bull
2010-02-18,0.005937461590276549,1,High Volatility Bull
2010-02-19,-0.0004931184602428645,0,Low Volatility Bull
2010-02-22,0.014096356545561914,1,High Volatility Bull
2010-02-23,0.0050293379019446536,0,Low Volatility Bull
2010-02-24,-0.0019388121418064226,1,High Volatility Bull
2010-02-25,0.015808276955329954,0,Low Volatility Bull
2010-02-26,-0.00590138477850503,1,High Volatility Bull
